OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
58,2473,753.9733276,109.8342972,13.72928715,402372.3125,3982762.25,15.49184132,15.49184132,90
59,2474,753.9733276,109.8342972,13.72928715,402482.1563,3982762.25,15.49184132,15.49184132,90
60,2475,8293.706055,604.088623,13.72928715,402626.9375,3982739.75,130.5935669,20.21515274,2.243926048
61,2476,6785.759766,604.088623,13.72928715,402894.0313,3982753,145.6855927,14.82627392,8.620729446
62,2477,753.9733276,109.8342972,13.72928715,404569,3982734.75,15.49184132,15.49184132,90
63,2478,2261.919922,219.6685944,13.72928715,402317.4063,3982734.75,53.66531372,13.41632843,0
64,2479,1507.946655,164.7514496,13.72928715,402413.5,3982734.75,30.98368263,15.49184132,0
65,2480,753.9733276,109.8342972,13.72928715,402646.9063,3982624.75,15.49184132,15.49184132,90
66,2481,17341.38672,604.088623,41.1878624,402802.0938,3982472,77.78803253,70.96122742,118.9021301
67,2482,753.9733276,109.8342972,13.72928715,396221.5938,3982597.5,15.49184132,15.49184132,90
68,2485,10555.62598,713.9229126,19.41321182,405698.7188,3982240.5,107.4928436,31.25752449,34.05522156
69,2491,3015.893311,219.6685944,13.72928715,405516.3125,3982171.75,30.98368263,30.98368263,90
70,2492,2261.919922,219.6685944,13.72928715,405566.6563,3982167.25,35.31376266,20.38841057,135
71,2502,753.9733276,109.8342972,13.72928715,405530.0625,3982075.75,15.49184132,15.49184132,90
72,2507,205080.7344,4338.45459,96.10501099,395976.375,3981831.75,297.5953369,219.3556824,120.2816162
73,2532,753.9733276,109.8342972,13.72928715,396331.4375,3981911,15.49184132,15.49184132,90
74,2533,1507.946655,164.7514496,13.72928715,405914.4688,3981787.25,30.98368263,15.49184132,90
75,2534,3015.893311,219.6685944,13.72928715,406504.8438,3981787.25,30.98368263,30.98368263,90
76,2536,2261.919922,219.6685944,13.72928715,397347.4063,3981856,53.66531372,13.41632843,0
77,2537,38452.63672,1812.265869,41.1878624,402590.9063,3981640.75,148.4050903,82.47598267,148.6268463
78,2539,753.9733276,109.8342972,13.72928715,397621.9688,3981828.5,15.49184132,15.49184132,90
79,2541,1507.946655,164.7514496,13.72928715,397416.0313,3981801,30.98368263,15.49184132,0
80,2543,1507.946655,164.7514496,13.72928715,397608.25,3981773.5,30.98368263,15.49184132,0
81,2544,753.9733276,109.8342972,13.72928715,405941.9375,3981663.75,15.49184132,15.49184132,90
82,2549,7539.73291,604.088623,13.72928715,405870.5313,3981578.75,73.42632294,32.68543625,98.87233734
83,2551,753.9733276,109.8342972,13.72928715,395699.875,3981718.75,15.49184132,15.49184132,90
84,2552,753.9733276,109.8342972,13.72928715,397457.2188,3981718.75,15.49184132,15.49184132,90
85,2553,753.9733276,109.8342972,13.72928715,397704.3438,3981718.75,15.49184132,15.49184132,90
86,2554,753.9733276,109.8342972,13.72928715,406161.5938,3981608.75,15.49184132,15.49184132,90
87,2555,753.9733276,109.8342972,13.72928715,406655.8438,3981608.75,15.49184132,15.49184132,90
88,2558,61825.8125,1592.59729,74.33036041,396519.2813,3981514.75,192.9002075,102.0204544,80.78701019
89,2559,1507.946655,164.7514496,13.72928715,406546.0313,3981567.75,30.98368263,15.49184132,90
90,2560,1507.946655,164.7514496,13.72928715,406697.0313,3981581.5,30.98368263,15.49184132,0
91,2562,10555.62598,768.8400879,13.72928715,397586.6875,3981595.25,88.23731232,38.07867813,178.6156921
92,2563,6031.786621,384.4200439,13.72928715,402897.4688,3981543.75,60.99379349,31.47823906,56.98124313
93,2564,48254.29297,1263.09436,74.33036041,406809.0313,3981409.25,133.8439026,114.7591934,81.2600708
94,2566,753.9733276,109.8342972,13.72928715,406573.4688,3981526.5,15.49184132,15.49184132,90
95,2569,753.9733276,109.8342972,13.72928715,396413.8125,3981608.75,15.49184132,15.49184132,90
96,2570,753.9733276,109.8342972,13.72928715,397759.2813,3981581.5,15.49184132,15.49184132,90
97,2572,753.9733276,109.8342972,13.72928715,396386.3438,3981554,15.49184132,15.49184132,90
98,2573,3769.866455,274.5857544,13.72928715,402624.9375,3981455,45.58987045,26.32132339,18.43494797
99,2574,1507.946655,164.7514496,13.72928715,403017.5938,3981471.5,30.98368263,15.49184132,0
100,2577,3015.893311,219.6685944,13.72928715,402907.75,3981430.5,30.98368263,30.98368263,90
